year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,0.01141552511415525,0.010871928680147858,precipitacao_total_horario,0.01141552511415525
2016,1.7190346083788708,1.6528970422413043,vento_rajada_maxima,1.7759562841530054
2017,8.116438356164384,7.729941291585128,precipitacao_total_horario,8.116438356164384
2018,7.123287671232877,3.4474885844748857,radiacao_global,7.123287671232877
2019,27.88812785388128,26.571537290715376,vento_rajada_maxima,27.990867579908674
2020,75.94489981785064,72.31817590424147,vento_rajada_maxima,76.00182149362477
2021,93.93835616438356,89.47325505544684,vento_rajada_maxima,94.04109589041096
2022,68.04794520547945,64.88964992389651,temperatura_orvalho_max_hora_ant,69.53196347031964
2023,65.39954337899543,62.272233094150906,vento_direcao_horaria,65.44520547945206
2024,97.65932000683411,92.99829961029347,temperatura_maxima_hora_ant,97.65932000683411
