year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,0.01141552511415525,0.012502717982170036,precipitacao_total_horario,0.045662100456621
2016,2.163023679417122,3.387652875357794,precipitacao_total_horario,29.610655737704917
2017,0.0228310502283105,0.01141552511415525,radiacao_global,0.0228310502283105
2018,20.23972602739726,19.500978473581213,pressao_atmosferica_max_hora_ant,21.15296803652968
2019,13.013698630136986,12.514677103718203,umidade_rel_min_hora_ant,13.778538812785387
2020,75.73998178506375,72.133315985775,precipitacao_total_horario,75.73998178506375
2021,87.27168949771689,83.44694498804087,vento_rajada_maxima,88.2648401826484
2022,44.06392694063927,42.073276799304196,vento_rajada_maxima,44.58904109589041
2023,43.07077625570776,41.04751032833225,vento_rajada_maxima,43.18493150684932
2024,40.64582265504869,38.81932749180315,vento_rajada_maxima,41.12420980693661
