year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,16.210045662100455,16.413894324853228,precipitacao_total_horario,32.922374429223744
2016,6.967213114754098,7.033350680891664,temperatura_orvalho_max_hora_ant,8.2764116575592
2017,0.0684931506849315,2.5842574472711464,precipitacao_total_horario,16.986301369863014
2018,1.9292237442922375,4.327571211132854,precipitacao_total_horario,32.614155251141554
2019,5.901826484018264,9.390084801043704,temperatura_orvalho_max_hora_ant,16.860730593607308
2020,0.022768670309653915,2.577196634573684,precipitacao_total_horario,16.666666666666664
2021,2.2031963470319638,0.520221787345075,radiacao_global,2.2031963470319638
2022,4.2465753424657535,7.3988910632746245,vento_rajada_maxima,23.881278538812786
2023,0.9246575342465754,5.698521417699499,vento_rajada_maxima,58.04794520547946
2024,0.03417051084913719,9.376550893721571,umidade_rel_max_hora_ant,37.331283102682384
