year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,13.744292237442924,13.108828006088281,umidade_rel_min_hora_ant,13.82420091324201
2016,2.1402550091074684,0.14528580102350594,radiacao_global,2.1402550091074684
2017,18.732876712328768,17.197216786257883,pressao_atmosferica_reduzida_nivel_mar_aut,18.801369863013697
2018,0.10273972602739725,0.020113068058273537,radiacao_global,0.10273972602739725
2019,13.618721461187214,15.13589910850185,vento_rajada_maxima,28.84703196347032
2020,79.71311475409836,75.922131147541,pressao_atmosferica_max_hora_ant,79.72449908925319
2021,100.0,95.23809523809524,precipitacao_total_horario,100.0
2022,100.0,95.23809523809524,precipitacao_total_horario,100.0
2023,17.180365296803654,20.33431180691455,precipitacao_total_horario,100.0
2024,50.965316931488125,51.65930373516227,precipitacao_total_horario,100.0
