year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,4.657534246575342,4.534137856055665,vento_rajada_maxima,4.931506849315069
2016,0.011384335154826957,0.010842223956978054,precipitacao_total_horario,0.011384335154826957
2017,11.54109589041096,11.113829093281149,vento_rajada_maxima,12.511415525114156
2018,17.922374429223744,17.957708197434226,precipitacao_total_horario,34.63470319634703
2019,68.63013698630137,68.39910850184823,vento_rajada_maxima,76.89497716894978
2020,100.0,95.23809523809524,precipitacao_total_horario,100.0
2021,100.0,95.23809523809524,precipitacao_total_horario,100.0
2022,60.342465753424655,59.346053489889115,precipitacao_total_horario,99.48630136986301
2023,0.3767123287671233,4.39986953685584,precipitacao_total_horario,85.2283105022831
2024,63.91594054331112,63.69952730793326,precipitacao_total_horario,100.0
