year,radiacao_global_null,mean_null_all_columns,column_with_most_nulls,max_null_percentage
2015,26.00456621004566,1.2486410089149815,radiacao_global,26.00456621004566
2016,35.91757741347905,21.752753924885074,radiacao_global,35.91757741347905
2017,3.436073059360731,0.2881061100239183,radiacao_global,3.436073059360731
2018,4.121004566210046,2.9718417047184174,precipitacao_total_horario,49.86301369863014
2019,20.867579908675797,21.28832354859752,precipitacao_total_horario,28.99543378995434
2020,86.54371584699454,84.9835198195854,temperatura_orvalho_max_hora_ant,95.94717668488161
2021,100.0,95.23809523809524,precipitacao_total_horario,100.0
2022,59.60045662100457,56.76288323548597,precipitacao_total_horario,59.634703196347026
2023,16.49543378995434,19.567840834964123,pressao_atmosferica_nivel_estacao_horaria,36.58675799086758
2024,10.592858363232532,27.09396076899921,pressao_atmosferica_nivel_estacao_horaria,100.0
