,precipitacao_total_horario,pressao_atmosferica_nivel_estacao_horaria,temperatura_ar_bulbo_seco_horaria,umidade_relativa_ar_horaria,vento_direcao_horaria,vento_rajada_maxima,vento_velocidade_horaria,radiacao_global,year,hora,mes,semana,dia_ano
2015-01-01 00:00:00,0.0,,28.061092835373227,65.30437658294214,,5.94315153937456,2.035874332801187,0.0,2015,0,1,1,1
2015-01-01 01:00:00,0.0,,28.061092835373227,65.30437658294214,,5.94315153937456,2.035874332801187,0.0,2015,1,1,1,1
2015-01-01 02:00:00,0.0,,28.061092835373227,65.30437658294214,,5.94315153937456,2.035874332801187,0.0,2015,2,1,1,1
2015-01-01 03:00:00,0.0,,28.061092835373227,65.30437658294214,,5.94315153937456,2.035874332801187,0.0,2015,3,1,1,1
2015-01-01 04:00:00,0.0,,28.061092835373227,65.30437658294214,,5.94315153937456,2.035874332801187,0.0,2015,4,1,1,1
2015-01-01 05:00:00,0.0,,28.061092835373227,65.30437658294214,,5.94315153937456,2.035874332801187,274.3,2015,5,1,1,1
2015-01-01 06:00:00,0.0,,28.061092835373227,65.30437658294214,,5.94315153937456,2.035874332801187,548.6,2015,6,1,1,1
2015-01-01 07:00:00,0.0,,28.061092835373227,65.30437658294214,,5.94315153937456,2.035874332801187,822.9000000000001,2015,7,1,1,1
2015-01-01 08:00:00,0.0,1012.7,27.8,63.0,92.0,8.5,4.4,1097.2,2015,8,1,1,1
2015-01-01 09:00:00,0.0,1012.7,29.9,53.0,101.0,8.5,4.1,2203.4,2015,9,1,1,1
2015-01-01 10:00:00,0.0,1012.5,31.5,45.0,84.0,8.3,3.6,2639.7,2015,10,1,1,1
2015-01-01 11:00:00,0.0,1011.9,32.8,41.0,77.0,8.6,2.7,2552.3,2015,11,1,1,1
2015-01-01 12:00:00,0.0,1010.8,33.2,35.0,90.0,8.3,2.5,3079.3,2015,12,1,1,1
2015-01-01 13:00:00,0.0,1009.7,33.9,33.0,67.0,6.8,3.0,2343.3,2015,13,1,1,1
2015-01-01 14:00:00,0.0,1008.7,32.9,38.0,8.0,9.6,6.1,1974.0,2015,14,1,1,1
2015-01-01 15:00:00,0.0,1008.0,33.1,36.0,14.0,9.6,5.5,2228.2,2015,15,1,1,1
2015-01-01 16:00:00,0.0,1008.3,31.9,47.0,7.0,10.8,7.1,1886.1,2015,16,1,1,1
2015-01-01 17:00:00,0.0,1008.9,29.6,61.0,11.0,10.6,6.6,1142.0,2015,17,1,1,1
2015-01-01 18:00:00,0.0,1009.1066666666667,28.061092835373227,65.30437658294214,14.666666666666666,5.94315153937456,2.035874332801187,571.0,2015,18,1,1,1
2015-01-01 19:00:00,0.0,1009.3133333333333,28.061092835373227,65.30437658294214,18.333333333333332,5.94315153937456,2.035874332801187,0.0,2015,19,1,1,1
2015-01-01 20:00:00,0.0,1009.52,28.061092835373227,65.30437658294214,22.0,5.94315153937456,2.035874332801187,0.0,2015,20,1,1,1
2015-01-01 21:00:00,0.0,1009.7266666666667,28.061092835373227,65.30437658294214,25.666666666666664,5.94315153937456,2.035874332801187,0.0,2015,21,1,1,1
2015-01-01 22:00:00,0.0,1009.9333333333333,28.061092835373227,65.30437658294214,29.333333333333332,5.94315153937456,2.035874332801187,0.0,2015,22,1,1,1
2015-01-01 23:00:00,0.0,1010.14,28.061092835373227,65.30437658294214,33.0,5.94315153937456,2.035874332801187,0.0,2015,23,1,1,1
2015-01-02 00:00:00,0.0,1010.3466666666667,28.061092835373227,65.30437658294214,36.666666666666664,5.94315153937456,2.035874332801187,0.0,2015,0,1,1,2
2015-01-02 01:00:00,0.0,1010.5533333333333,28.061092835373227,65.30437658294214,40.33333333333333,5.94315153937456,2.035874332801187,0.0,2015,1,1,1,2
2015-01-02 02:00:00,0.0,1010.76,28.061092835373227,65.30437658294214,44.0,5.94315153937456,2.035874332801187,0.0,2015,2,1,1,2
2015-01-02 03:00:00,0.0,1010.9666666666667,28.061092835373227,65.30437658294214,47.666666666666664,5.94315153937456,2.035874332801187,0.0,2015,3,1,1,2
2015-01-02 04:00:00,0.0,1011.1733333333333,28.061092835373227,65.30437658294214,51.33333333333333,5.94315153937456,2.035874332801187,0.0,2015,4,1,1,2
2015-01-02 05:00:00,0.0,1011.38,28.061092835373227,65.30437658294214,55.0,5.94315153937456,2.035874332801187,230.45,2015,5,1,1,2
2015-01-02 06:00:00,0.0,1011.5866666666667,28.061092835373227,65.30437658294214,58.666666666666664,5.94315153937456,2.035874332801187,460.9,2015,6,1,1,2
2015-01-02 07:00:00,0.0,1011.7933333333333,28.061092835373227,65.30437658294214,62.33333333333333,5.94315153937456,2.035874332801187,691.3499999999999,2015,7,1,1,2
2015-01-02 08:00:00,0.0,1012.0,27.5,76.0,66.0,3.9,1.8,921.8,2015,8,1,1,2
2015-01-02 09:00:00,0.0,1012.3,29.5,59.0,60.0,5.8,3.2,2030.3,2015,9,1,1,2
2015-01-02 10:00:00,0.0,1011.9,32.0,47.0,54.0,6.9,3.4,2463.3,2015,10,1,1,2
2015-01-02 11:00:00,0.0,1011.4,32.9,38.0,47.0,7.3,4.2,3133.7,2015,11,1,1,2
2015-01-02 12:00:00,0.0,1010.4,33.8,37.0,49.0,7.9,3.1,2704.2,2015,12,1,1,2
2015-01-02 13:00:00,0.0,1009.3,34.3,32.0,39.0,6.6,3.1,3252.6,2015,13,1,1,2
2015-01-02 14:00:00,0.0,1008.2,33.9,39.0,5.0,10.5,6.6,3074.8,2015,14,1,1,2
2015-01-02 15:00:00,0.0,1007.8,33.6,37.0,3.0,10.3,6.6,2895.3,2015,15,1,1,2
2015-01-02 16:00:00,0.0,1008.0,31.2,51.0,12.0,11.0,6.7,1982.2,2015,16,1,1,2
2015-01-02 17:00:00,0.0,1008.25,28.061092835373227,65.30437658294214,16.5625,5.94315153937456,2.035874332801187,1321.4666666666667,2015,17,1,1,2
2015-01-02 18:00:00,0.0,1008.5,28.061092835373227,65.30437658294214,21.125,5.94315153937456,2.035874332801187,660.7333333333333,2015,18,1,1,2
2015-01-02 19:00:00,0.0,1008.75,28.061092835373227,65.30437658294214,25.6875,5.94315153937456,2.035874332801187,0.0,2015,19,1,1,2
2015-01-02 20:00:00,0.0,1009.0,28.061092835373227,65.30437658294214,30.25,5.94315153937456,2.035874332801187,0.0,2015,20,1,1,2
2015-01-02 21:00:00,0.0,1009.25,28.061092835373227,65.30437658294214,34.8125,5.94315153937456,2.035874332801187,0.0,2015,21,1,1,2
2015-01-02 22:00:00,0.0,1009.5,28.061092835373227,65.30437658294214,39.375,5.94315153937456,2.035874332801187,0.0,2015,22,1,1,2
2015-01-02 23:00:00,0.0,1009.75,28.061092835373227,65.30437658294214,43.9375,5.94315153937456,2.035874332801187,0.0,2015,23,1,1,2
2015-01-03 00:00:00,0.0,1010.0,28.061092835373227,65.30437658294214,48.5,5.94315153937456,2.035874332801187,0.0,2015,0,1,1,3
