,precipitacao_total_horario,pressao_atmosferica_nivel_estacao_horaria,temperatura_ar_bulbo_seco_horaria,umidade_relativa_ar_horaria,vento_direcao_horaria,vento_rajada_maxima,vento_velocidade_horaria,radiacao_global,year,hora,mes,semana,dia_ano
2015-01-01 00:00:00,0.0,994.5,26.5,67.0,32.0,7.1,2.2,0.0,2015,0,1,1,1
2015-01-01 01:00:00,0.0,994.5,26.5,66.0,40.0,8.2,3.5,0.0,2015,1,1,1,1
2015-01-01 02:00:00,0.0,994.5,26.1,68.0,29.0,7.4,2.1,0.0,2015,2,1,1,1
2015-01-01 03:00:00,0.0,994.5,25.8,69.0,41.0,5.9,3.1,0.0,2015,3,1,1,1
2015-01-01 04:00:00,0.0,994.6,25.4,71.0,36.0,5.3,1.7,0.0,2015,4,1,1,1
2015-01-01 05:00:00,0.0,995.1,25.1,72.0,23.0,4.0,1.0,17.5,2015,5,1,1,1
2015-01-01 06:00:00,0.0,995.9,25.2,71.0,24.0,2.5,1.0,35.0,2015,6,1,1,1
2015-01-01 07:00:00,0.0,996.5,26.4,67.0,45.0,2.2,0.6,347.1,2015,7,1,1,1
2015-01-01 08:00:00,0.0,996.5,28.5,54.0,89.0,7.2,3.6,1328.4,2015,8,1,1,1
2015-01-01 09:00:00,0.0,996.7,30.0,47.0,120.0,9.0,4.0,2305.6,2015,9,1,1,1
2015-01-01 10:00:00,0.0,996.3,30.4,42.0,91.0,8.8,4.0,2489.9,2015,10,1,1,1
2015-01-01 11:00:00,0.0,995.4,33.3,31.0,113.0,8.2,2.8,2768.4,2015,11,1,1,1
2015-01-01 12:00:00,0.0,994.4,34.5,25.0,121.0,7.6,3.3,3456.5,2015,12,1,1,1
2015-01-01 13:00:00,0.0,992.9,35.3,24.0,82.0,9.6,1.9,3364.0,2015,13,1,1,1
2015-01-01 14:00:00,0.0,991.7,36.0,21.0,123.0,8.3,3.7,2768.9,2015,14,1,1,1
2015-01-01 15:00:00,0.0,991.1,35.4,22.0,57.0,7.3,3.7,1784.7,2015,15,1,1,1
2015-01-01 16:00:00,0.0,991.0,36.1,20.0,106.0,9.0,3.9,1420.5,2015,16,1,1,1
2015-01-01 17:00:00,0.0,991.2,34.9,22.0,77.0,8.6,2.3,687.7,2015,17,1,1,1
2015-01-01 18:00:00,0.0,991.7,33.9,25.0,71.0,6.6,4.1,107.7,2015,18,1,1,1
